,title,vote_count,vote_average,release_year
19886,Amor?,0.0,0.0,2011
19887,The Last Trapper,24.0,6.9,2004
19888,Le Poulpe,5.0,6.5,1998
19889,Locked Out,36.0,5.9,2006
19890,A Fantastic Fear of Everything,102.0,5.7,2012
19891,Fire Over England,7.0,6.9,1937
19892,Fog Over Frisco,4.0,6.5,1934
19893,Ten Seconds to Hell,3.0,6.2,1959
19894,Storage 24,52.0,3.9,2012
19895,Tokio Baby,1.0,2.0,2010
19896,Deadfall,228.0,5.6,2012
19897,Skirt Day,43.0,7.2,2008
19898,So Big!,3.0,4.3,1932
19899,The Singing Marine,0.0,0.0,1937
19900,The Great Diamond Robbery,0.0,0.0,1954
19901,Two Sisters From Boston,0.0,0.0,1946
19902,The Quare Fellow,3.0,6.8,1962
19903,Chronicle of My Mother,6.0,6.6,2011
19904,"Moral Tales, Filmic Issues",0.0,0.0,2006
19905,97 Percent True,0.0,0.0,2008
19906,Les modèles de 'Pickpocket',0.0,0.0,2004
19907,The Confession,12.0,6.0,1999
19908,Lovely to Look At,0.0,0.0,1952
19909,Excuse My Dust,0.0,0.0,1951
19910,Watch the Birdie,3.0,5.7,1950
19911,Putin’s Kiss,1.0,5.0,2011
19912,Journey to Saturn,10.0,4.9,2008
19913,Byzantium,300.0,6.1,2012
19914,Buzzkill,4.0,2.9,2012
19915,The Perfect Family,7.0,4.7,2011
19916,Halo 4: Forward Unto Dawn,240.0,6.4,2012
19917,Step Up Revolution,679.0,6.7,2012
19918,The Yellow Cab Man,0.0,0.0,1950
19919,Four More Years,7.0,6.6,2010
19920,Hellraiser: Revelations,57.0,3.0,2011
19921,Welcome to Sherwood! The Story of 'The Adventures of Robin Hood',1.0,6.0,2003
19922,Jungle de Ikou,2.0,6.5,1997
19923,Making 'The New World',0.0,0.0,2006
19924,The Lost Missile,3.0,4.3,1958
19925,Nightmare Man,13.0,4.0,2006
19926,Cry Wolf,8.0,5.6,1947
19927,Imaginaerum,62.0,5.7,2012
19928,Hold Up,20.0,6.8,2010
19929,Tarda estate,0.0,0.0,2010
19930,Raw Deal: A Question Of Consent,0.0,0.0,2001
19931,Budd Boetticher: An American Original,0.0,0.0,2005
19932,The Footprints of a Spirit,0.0,0.0,1998
19933,James Dean Remembered,0.0,0.0,1974
19934,Our Town,0.0,0.0,2003
19935,Bed of Roses,0.0,0.0,1933
19936,Division III: Football's Finest,16.0,4.6,2011
19937,Rebecca of Sunnybrook Farm,6.0,6.6,1938
19938,Mark Twain,7.0,5.9,2002
19939,DMT: The Spirit Molecule,23.0,6.0,2010
19940,Mac & Devin Go to High School,56.0,4.9,2012
19941,A Burning Hot Summer,14.0,5.3,2011
19942,A Kiss for Corliss,0.0,0.0,1949
19943,Adventure in Baltimore,6.0,4.8,1949
19944,Baby Take a Bow,7.0,5.2,1934
19945,The Tempest,0.0,0.0,1980
19949,New Fist of Fury,17.0,5.4,1976
19950,The Killer Meteors,9.0,5.4,1976
19951,Shaolin Wooden Men,18.0,5.9,1976
19952,The 36 Crazy Fists,3.0,5.0,1977
19953,The Sleeping Car Murder,8.0,6.9,1965
19954,Let's Not Get Angry,17.0,7.4,1966
19955,Hothead,11.0,6.5,1979
19956,Poolboy - Drowning Out the Fury,16.0,4.3,2011
19957,The Poll Diaries,6.0,6.8,2010
19958,Aftermath,20.0,6.0,2012
19959,Paperman,734.0,8.0,2012
19960,To Kill with Intrigue,8.0,5.9,1977
19961,Magnificent Bodyguards,3.0,7.0,1978
19962,Fearless Hyena,27.0,6.8,1979
19963,Dragon Fist,15.0,6.7,1979
19964,Half a Loaf of Kung Fu,14.0,6.8,1978
19965,We Should Not Exist,2.0,6.8,2006
19966,Erreur de la banque en votre faveur,15.0,5.5,2009
19967,Kirikou and the Wild Beasts,65.0,6.1,2005
19968,The Statue of Liberty,0.0,0.0,1985
19969,Slingshot,2.0,4.0,2005
19970,Brooklyn Bridge,1.0,6.0,1982
19971,Arcade,2.0,5.0,1993
19972,Jude the Obscure,0.0,0.0,1971
19973,Paramore: The Final Riot!,1.0,10.0,2008
19974,Bad Ass,141.0,5.3,2012
19975,Nativity!,46.0,6.2,2009
19976,A Christmas Story 2,11.0,4.1,2012
19977,Elevator Girl,8.0,4.8,2010
19978,Fantasy Mission Force,5.0,5.6,1983
19979,Fearless Hyena Part II,11.0,6.5,1983
19980,Recoil,34.0,5.0,2011
19981,Ghost Voyage,10.0,5.4,2008
19982,"Peace, Love & Misunderstanding",43.0,5.7,2011
19983,The Congress,165.0,6.4,2013
19987,Fever,1.0,5.0,1991
19988,Made in Mexico,4.0,5.8,2012
19989,Hitchcock,527.0,6.3,2012
19990,Caesar Must Die,29.0,6.6,2012
19991,Interceptor,5.0,5.6,1992
19992,Now Where Did the Seventh Company Get to?,53.0,7.1,1973
19993,Other Worlds,5.0,5.9,2004
19994,Peppermint Soda,7.0,7.0,1977
19995,American Roulette,1.0,4.0,1988
19996,From Up on Poppy Hill,332.0,7.6,2011
19997,Redline,50.0,7.3,2009
19998,Honeymoon,2.0,6.5,1947
19999,Just Around the Corner,3.0,7.7,1938
20000,Kathleen,1.0,6.0,1941
20001,Burn Up!,2.0,5.0,1991
20002,Lulu in Berlin,0.0,0.0,1984
20003,The time and patience,0.0,0.0,1994
20004,Welcome to the Space Show,18.0,6.2,2010
20005,Winners & Sinners,33.0,6.3,1983
20006,Barry Munday,22.0,6.3,2010
20007,Purge,23.0,6.7,2012
20008,The Day He Arrives,27.0,6.9,2011
20009,My Lucky Stars,27.0,6.6,1985
20010,"Twinkle, Twinkle, Lucky Stars",18.0,6.4,1985
20011,Kiss and Tell,0.0,0.0,1996
20012,"Oui, mais...",5.0,6.9,2001
20013,Space Adventure Cobra,12.0,6.0,1982
20014,L'aventure c'est l'aventure,20.0,6.6,1972
20015,A Season for Miracles,4.0,7.5,1999
20016,1911,41.0,5.0,2011
20017,Looking for Jackie,17.0,4.4,2009
20018,The Shaolin Temple,26.0,7.2,1982
20019,Shaolin Temple 2: Kids from Shaolin,7.0,6.2,1984
20020,Carol Channing: Larger Than Life,0.0,0.0,2012
20021,Memory,9.0,4.7,2006
20022,Martial Arts of Shaolin,14.0,6.8,1986
20023,Snowmageddon,12.0,5.0,2011
20024,Stand Up and Fight,0.0,0.0,1939
20025,Jazz,3.0,5.7,2001
20026,Barbara,71.0,7.3,2012
20027,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,13.0,6.9,2012
20028,Little Miss Broadway,2.0,9.0,1938
20029,Miss Annie Rooney,2.0,3.3,1942
20030,Mr. Belvedere Goes to College,2.0,7.0,1949
20031,The Hobbit: An Unexpected Journey,8427.0,7.0,2012
20032,Mon Paradis - Der Winterpalast,0.0,0.0,2001
20033,No Flesh Shall Be Spared,0.0,0.0,2009
20034,I am Von Höfler Variation on Werther,0.0,0.0,2008
20035,Born to Defend,6.0,5.7,1986
20036,Dragon Fight,8.0,5.6,1989
20037,The Master,28.0,5.9,1992
20038,Kung Fu Cult Master,14.0,6.8,1993
20039,The Fitzgerald Family Christmas,7.0,6.5,2012
20040,Hyde Park on Hudson,77.0,5.3,2012
20041,Lay the Favorite,69.0,4.9,2012
20042,Audition/Talent Competition,5.0,5.6,1964
20043,All's Faire in Love,4.0,6.3,2009
20044,Crooked Arrows,14.0,5.6,2012
20045,The Enforcer,25.0,5.8,1995
20046,Dr. Wai in the Scriptures with No Words,13.0,5.8,1996
20047,Once Upon a Time in China and America,23.0,5.7,1997
20048,Contract Killer,30.0,6.2,1998
20049,The Executor,1.0,6.0,1981
20050,Never Say... Never!,10.0,4.8,2005
20051,Calmos,11.0,5.8,1976
20052,How to Make Love to a Woman,18.0,4.9,2010
20053,"After Fall, Winter",8.0,5.7,2012
20054,Violeta Went to Heaven,10.0,6.7,2011
20055,Rebellion,24.0,6.3,2011
20056,Versailles,4.0,6.0,2008
20057,Two in the Wave,5.0,5.5,2010
20058,Lotte Reiniger: Homage to the Inventor of the Silhouette Film,0.0,0.0,2001
20059,"RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World'",1.0,8.0,2005
20060,Yossi,22.0,6.8,2012
20061,"All Blossoms Again: Pedro Costa, Director",0.0,0.0,2006
20062,The Last Rites of Joe May,7.0,6.1,2011
20063,100 Ways to Murder Your Wife,1.0,4.0,1986
20064,The Prodigal,1.0,5.0,1955
20065,The Eleventh Hour,4.0,4.3,2008
20066,Barfi,84.0,7.2,2012
20067,Federico Fellini's Autobiography,3.0,6.7,2000
20068,Zero Dark Thirty,1723.0,6.7,2012
20069,Neighboring Sounds,47.0,6.4,2012
20070,Consuming Spirits,1.0,5.0,2012
20071,Chasing Ice,62.0,7.4,2012
20072,Antiviral,112.0,5.7,2012
20073,The Arrival of a Train at La Ciotat,87.0,6.9,1896
20074,Adventures of Arsene Lupin,103.0,5.1,2004
20075,The Three Brothers,119.0,7.2,1995
20076,Ghost Machine,14.0,5.0,2009
20077,Freeloaders,14.0,4.3,2012
20078,The Immortal Story,10.0,7.3,1968
20079,Filming Othello,1.0,5.0,1978
20080,The Woodsman and the Rain,9.0,5.8,2011
20081,Fire with Fire,223.0,5.6,2012
20082,Warm Bodies,2698.0,6.4,2013
20083,The Gay Bed and Breakfast of Terror,7.0,3.6,2007
20084,Dororo,17.0,6.4,2007
20085,Let Fury Have the Hour,0.0,0.0,2012
20086,Asylum Blackout,23.0,5.7,2011
20087,Fresh Bait,11.0,6.7,1995
20088,Frenchmen,32.0,6.4,2003
20089,Wrong,105.0,6.0,2012
20090,Young & Wild,30.0,5.1,2012
20091,Trishna,22.0,5.8,2011
20092,Aftershock,35.0,7.5,2010
20093,Chained,119.0,6.3,2012
20094,The Goodbye Girl,3.0,4.2,2004
20095,The Ring Finger,10.0,5.7,2005
20096,"Count Yorga, Vampire",7.0,5.6,1970
20097,The Comedy,20.0,6.1,2012
20098,7 Khoon Maaf,17.0,5.9,2011
20099,The Red Shoes,22.0,5.9,2006
20100,Bluebeard,10.0,5.7,1972
20101,Our Little Girl,2.0,4.0,1935
20102,Playing for Keeps,245.0,5.4,2012
20103,Poor Little Rich Girl,3.0,7.0,1936
20104,Skate Or Die,7.0,3.5,2008
20105,Negative Happy Chain Saw Edge,2.0,7.8,2008
20106,Stevie Nicks: Live at Red Rocks,1.0,7.0,1987
20107,The Guilt Trip,287.0,5.4,2012
20108,The Girl on a Motorcycle,7.0,5.1,1968
20109,Save the Date,49.0,6.1,2012
20110,Jack Reacher,3046.0,6.3,2012
20111,Django Unchained,10297.0,7.8,2012
20112,This Is 40,909.0,5.6,2012
20113,The Monster,1.0,6.0,1993
20114,I Bought a Vampire Motorcycle,5.0,7.2,1990
20115,Willard,15.0,6.0,1971
20116,The Public Woman,17.0,6.1,1984
20117,Ohyaku: The Female Demon,3.0,7.7,1968
20118,Ice Cream Man,15.0,5.7,1995
20119,Cirque du Soleil: Worlds Away,58.0,6.1,2012
20120,The Impossible,2071.0,7.0,2012
20121,A Carol for Another Christmas,3.0,4.3,1964
20122,Les Misérables,1925.0,7.2,2012
20123,Gestapo's Last Orgy,10.0,5.3,1977
20124,Mamitas,3.0,6.3,2012
20125,The Bobo,3.0,8.0,1967
20126,Struck by Lightning,96.0,6.2,2012
20127,Minecraft: The Story of Mojang,18.0,6.5,2012
20128,Spring Break Shark Attack,8.0,3.5,2005
20129,Campfire Tales,18.0,6.1,1997
20130,Seven Ways from Sundown,6.0,4.4,1960
20131,Aziz Ansari: Intimate Moments for a Sensual Evening,19.0,6.9,2010
20132,Not Fade Away,32.0,5.4,2012
20133,Quartet,141.0,6.4,2012
20134,Silent Night,71.0,4.8,2012
20135,The Turn of the Screw,10.0,5.1,2009
20136,"Coluche, l'histoire d'un mec",14.0,6.0,2008
20137,Les parasites,5.0,7.4,1999
20138,The Reluctant Dragon,26.0,6.7,1941
20139,A Marine Story,9.0,6.3,2010
20140,Malibu High,5.0,5.2,1979
20141,The Softening of the Egg,3.0,5.3,1975
20142,Who Wants To Kill Jessie?,8.0,6.6,1966
20143,Jerusalem Countdown,8.0,5.2,2011
20144,Stand Up and Cheer!,3.0,4.0,1934
20145,Stowaway,9.0,6.6,1936
20146,Susannah of the Mounties,4.0,5.6,1939
20147,11 Flowers,4.0,7.3,2011
20148,In Your Dreams,2.0,5.0,2005
20149,The Willow Tree,5.0,7.0,2005
20150,Would You Rather,289.0,5.8,2012
20151,Kumaré,27.0,7.1,2012
20152,Lady Oscar,3.0,5.8,1979
20153,That Hagen Girl,3.0,5.5,1947
20154,Holiday Wishes,0.0,0.0,2006
20155,Maximum Conviction,40.0,4.8,2012
20156,The Eye of the Storm,6.0,5.8,2011
20157,976-Evil II,14.0,4.3,1992
20158,Xtro 2: The Second Encounter,8.0,4.0,1990
20159,Xtro 3: Watch the Skies,8.0,4.1,1995
20160,Addicted,63.0,5.4,2014
20161,Foreign Intrigue,2.0,6.8,1956
20162,Harem suare,12.0,6.3,1999
20163,"Glenn, the Flying Robot",5.0,4.1,2010
20164,Kevin Smith: Burn in Hell,7.0,6.9,2012
20165,Slipstream,16.0,4.2,1989
20166,The Woodmans,1.0,5.0,2011
20167,3 Zimmer/Küche/Bad,28.0,7.1,2012
20168,Holiday in Handcuffs,52.0,6.2,2007
20169,Camp Rock 2: The Final Jam,354.0,5.8,2010
20170,StreetDance 3D,98.0,6.1,2010
20171,The New Barbarians,16.0,4.4,1983
20172,How To Stop Being A Loser,8.0,5.4,2011
20173,Transfer,8.0,6.2,2010
20174,Holiday Reunion,7.0,3.4,2003
20175,A Time of Roses,1.0,5.0,1969
20176,Lipton Cockton in the Shadows of Sodoma,1.0,6.0,1995
20177,A Midsummer of Love,11.0,5.4,2009
20178,Alois Nebel,8.0,6.5,2011
20179,Juan of the Dead,81.0,6.3,2011
20180,Parental Guidance,212.0,5.8,2012
20181,Sexy Baby,7.0,5.6,2012
20182,Snow on tha Bluff,14.0,6.6,2011
20183,John Dies at the End,257.0,6.3,2012
20184,Vidal Sassoon: The Movie,4.0,6.1,2010
20185,Born to Be Wild,20.0,7.2,2011
20186,Blonde Ice,6.0,5.6,1948
20187,Ultrasuede: In Search of Halston,1.0,2.0,2011
20188,Trek Nation,13.0,7.0,2011
20189,Sun Kissed,0.0,0.0,2012
20190,Chely Wright: Wish Me Away,3.0,5.5,2011
20191,The Central Park Five,33.0,6.8,2012
20192,The Collection,294.0,5.9,2012
20193,The Cherry Orchard: Blossoming,0.0,0.0,2008
20194,FDR: American Badass!,17.0,4.9,2012
20195,All Superheroes Must Die,14.0,4.3,2011
20196,Jean Renoir: Part One - From La Belle Époque to World War II,0.0,0.0,1993
20197,Booker's Place: A Mississippi Story,1.0,5.0,2012
20198,Girl Walk // All Day,7.0,7.1,2011
20199,Las Acacias,12.0,5.9,2011
20200,Just Ask My Children,5.0,7.2,2001
20201,Never Too Young to Die,5.0,4.8,1986
20202,Remember the Daze,22.0,5.5,2007
20203,Waiting for Lightning,4.0,5.3,2012
20204,Yesterday's Enemy,5.0,8.4,1959
20205,Young People,2.0,6.3,1940
20206,Henry,1.0,7.0,2010
20207,L'incruste,3.0,4.7,2004
20208,The Villain,29.0,5.9,2009
20209,Soldiers of Fortune,56.0,4.8,2012
20210,Rurouni Kenshin,174.0,7.2,2012
20211,Les Misérables,36.0,6.7,2000
20212,Extracted,85.0,5.9,2012
20213,Stevie,3.0,3.5,2008
20214,Mansome,38.0,4.8,2012
20215,Les Misérables,11.0,6.5,1958
20216,Les Miserables,4.0,5.6,1952
20217,The Big Street,0.0,0.0,1942
20218,The True Meaning of Christmas Specials,0.0,0.0,2002
20219,Great Escape: The Untold Story,0.0,0.0,2001
20220,Kenji Mizoguchi: The Life of a Film Director,2.0,6.0,1975
20221,Cornelis,5.0,6.6,2010
20222,Promised Land,246.0,6.0,2012
20223,Neo Ned,5.0,5.6,2005
20224,Offender,16.0,5.5,2012
20225,Confessions of a Window Cleaner,6.0,7.0,1974
20226,The Man Who Haunted Himself,24.0,6.7,1970
20227,Dakota Skye,17.0,5.9,2008
20228,A Demon in My View,0.0,0.0,1991
20229,The Immaculate Conception of Little Dizzle,10.0,6.1,2010
20230,Judas Kiss,21.0,5.7,2011
20231,Confessions of a Pop Performer,4.0,7.5,1975
20232,Private Romeo,21.0,4.9,2011
20233,Role/Play,7.0,4.1,2010
20234,I Know What I Saw,1.0,8.0,2009
20235,The Sweeney,110.0,5.7,2012
20236,English Vinglish,68.0,7.3,2012
20237,Fish Story,19.0,7.0,2009
20238,Comedy Central Roast of Bob Saget,8.0,6.3,2008
20239,Tiny Toon Adventures: How I Spent My Vacation,16.0,7.5,1992
20240,Trapped in the Closet: Chapters 1-12,9.0,6.8,2005
20241,The Sea of Grass,7.0,6.4,1947
20242,The Visitors,4.0,6.1,1972
20243,The Man Who Laughs,28.0,5.9,2012
20244,Excuse Me for Living,6.0,4.8,2012
20245,Aftermath,34.0,6.1,1994
20246,Fragments of an Alms-Film,0.0,0.0,1972
20247,Manuel on the Island of Wonders,0.0,0.0,1984
20248,Eat Sleep Die,16.0,6.0,2012
20249,Dr. Bronner's Magic Soapbox,5.0,6.0,2007
20250,"Guns, Girls and Gambling",34.0,5.2,2011
20251,A Dark Truth,35.0,5.3,2012
20252,A Conversation with Gregory Peck,1.0,7.0,1999
20253,Odette Toulemonde,36.0,5.5,2006
20254,Mein Kampf,8.0,3.8,2009
20255,Pusher,38.0,5.3,2012
20256,Lucy,8.0,6.3,2003
20257,The Hollywood Complex,3.0,6.0,2011
20258,The Shunning,10.0,6.2,2011
20259,She Had to Say Yes,0.0,0.0,1933
20260,Leave,8.0,6.5,2011
20261,Texas Chainsaw 3D,475.0,5.3,2013
20262,K-11,11.0,4.3,2013
20263,Ex-Girlfriends,5.0,4.5,2012
20264,Gangster Squad,1805.0,6.2,2013
20265,Dabangg 2,30.0,5.1,2012
20266,The Marsh,21.0,5.0,2006
20267,Road to Redemption,1.0,10.0,2001
20268,The Climb,3.0,5.3,2002
20269,The Warrior and the Sorceress,10.0,3.3,1984
20270,The Company You Keep,261.0,5.9,2012
20271,The Trouble with Bliss,19.0,4.0,2011
20272,The Samaritan,69.0,5.2,2012
20273,I Got Next,4.0,5.9,2011
20274,The Iceman,368.0,6.4,2012
20275,Behind Blue Skies,12.0,6.8,2010
20276,Mad Ron's Prevues from Hell,5.0,4.1,1987
20277,T.N.T.,4.0,3.0,1998
20278,Secrets of the Tribe,1.0,5.0,2010
20279,It's Such a Beautiful Day,94.0,7.8,2012
20280,Kiss the Bride,11.0,4.2,2007
20281,A Haunted House,523.0,5.4,2013
20282,Sinners and Saints,31.0,5.7,2010
20283,Painted Lady,2.0,4.0,1998
20284,Whores' Glory,26.0,6.8,2011
20285,Somewhere in Palilula,1.0,5.0,2012
20286,A Fork in the Road,12.0,6.2,2010
20287,Planet of Snail,6.0,6.3,2011
20288,The Waiting Room,9.0,7.2,2012
20289,Beware of Mr. Baker,22.0,7.5,2012
20290,"Batman: The Dark Knight Returns, Part 2",426.0,7.9,2013
20291,Alphabet City,4.0,3.9,1984
20292,Beyond the Hills,54.0,7.2,2012
20293,Pokémon the Movie Black: Victini and Reshiram,23.0,5.7,2011
20294,Pokémon the Movie White: Victini and Zekrom,32.0,5.8,2011
20295,Cleanflix,7.0,6.4,2010
20296,The Unloved,12.0,6.5,2009
20297,The Hand,13.0,8.2,1965
20298,Paul Williams Still Alive,7.0,6.2,2011
20299,Sister,43.0,6.8,2012
20300,Mea Maxima Culpa: Silence in the House of God,23.0,7.6,2012
20301,Everything or Nothing,25.0,7.1,2012
20302,Grayeagle,3.0,3.3,1977
20303,Codependent Lesbian Space Alien Seeks Same,2.0,3.3,2012
20304,The World's Greatest Athlete,6.0,5.2,1973
20305,Jesse Stone: Stone Cold,33.0,6.5,2005
20306,Jesse Stone: Death in Paradise,31.0,6.9,2006
20307,Jesse Stone: Sea Change,22.0,6.8,2007
20308,Cargo,6.0,4.1,2011
20309,Jesse Stone: No Remorse,22.0,6.3,2010
20310,Jesse Stone: Innocents Lost,18.0,6.1,2011
20311,Jesse Stone: Benefit of the Doubt,16.0,6.5,2012
20312,Diana Vreeland: The Eye Has to Travel,14.0,7.0,2012
20313,Padre nuestro,3.0,6.7,2007
20314,Milarepa,4.0,8.0,2008
20315,Marked for Murder,0.0,0.0,1993
20316,Morgan Pålsson - Världsreporter,6.0,4.8,2008
20317,Renoir,34.0,6.5,2012
20318,Typhoon,14.0,5.3,2005
20319,The Last Stand,1282.0,5.7,2013
20320,Mama,1452.0,6.0,2013
20321,The Candidate,12.0,5.4,2008
20322,Upstream Color,277.0,6.5,2013
20323,Fast Life,0.0,0.0,1932
20324,Careless Love,1.0,8.0,2012
20325,Special When Lit,11.0,7.4,2009
20326,The Year of the Tiger,1.0,5.0,2011
20327,Outpost: Black Sun,32.0,4.5,2012
20328,Preston Sturges: The Rise and Fall of an American Dreamer,0.0,0.0,1990
20329,Double Indemnity,7.0,5.0,1973
20330,London After Midnight,3.0,7.3,2002
20331,Broken City,601.0,5.7,2013
20332,Nursery University,4.0,5.4,2009
20333,The Counterfeit Coin,4.0,6.6,1955
20334,Nameless Gangster,51.0,6.7,2012
20335,Ginger & Rosa,79.0,6.4,2012
20336,First Shot,1.0,1.0,2002
20337,Marina Abramović: The Artist Is Present,43.0,7.5,2012
20338,Bonsai,4.0,7.3,2011
20339,Shadow Dancer,84.0,5.7,2012
20340,Thale,54.0,5.1,2012
20341,It's a Disaster,84.0,6.0,2013
20342,Texas Across the River,5.0,5.7,1966
20343,The Comic,2.0,5.0,1969
20344,Up In Smoke,1.0,8.0,1957
20345,First Daughter,4.0,4.9,1999
20346,The Flaw,0.0,0.0,2011
20347,Battle of Los Angeles,46.0,3.8,2011
20348,Jason Becker: Not Dead Yet,7.0,8.1,2012
20349,Chicago Massacre: Richard Speck,9.0,3.2,2007
20350,Keep the Lights On,25.0,5.4,2012
20351,Beauty Is Embarrassing,6.0,8.2,2012
20352,Girl Model,30.0,6.5,2011
20353,Crossfire Hurricane,14.0,7.4,2012
20354,Middle of Nowhere,7.0,6.6,2012
20355,True Blue,2.0,6.0,2001
20356,The Guns Of Fort Petticoat,10.0,4.9,1957
20357,Madagascar,4.0,8.6,2011
20358,Omar Killed Me,26.0,6.6,2011
20359,Red Hook Summer,7.0,6.7,2012
20360,Stella Maris,7.0,7.6,1918
20361,Die,25.0,4.5,2010
20362,Sunny,56.0,8.0,2011
20363,My Way,75.0,7.6,2011
20364,Le Chef,173.0,5.9,2012
20365,Punching the Clown,6.0,7.5,2010
20366,Tale of a Forest,7.0,6.9,2012
20367,Choose,28.0,4.2,2011
20368,Made in Hong Kong,11.0,6.7,1997
20369,Creature from Black Lake,3.0,6.0,1976
20370,Bad Luck,4.0,5.1,1960
20371,Movie 43,816.0,4.5,2013
20372,The Iceman Tapes: Conversations with a Killer,6.0,8.0,1992
20373,Night of the Demons 2,29.0,6.0,1994
20374,Hitler's Madman,2.0,7.0,1943
20375,Death Race: Inferno,231.0,5.3,2013
20376,Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe,2.0,7.0,2007
20377,Pictures of the Old World,6.0,7.8,1972
20378,Jean Gentil,1.0,5.0,2012
20379,Day and Night,0.0,0.0,1997
20380,The Pervert's Guide to Ideology,33.0,7.2,2012
20381,Parker,1467.0,5.7,2013
20382,We the Party,5.0,3.2,2012
20383,A Simple Life,45.0,6.9,2011
20384,Treacle Jr.,3.0,6.2,2010
20385,The End of Love,16.0,5.8,2013
20386,Palms,7.0,8.1,1994
20387,The Act in Question,1.0,5.0,1993
20388,The Color Wheel,11.0,6.4,2011
20389,The Green Wave,2.0,8.5,2012
20390,Sightseers,187.0,6.2,2012
20391,Oppai Volleyball,6.0,5.7,2009
20392,Hansel & Gretel: Witch Hunters,3290.0,5.7,2013
20393,Kon-Tiki,12.0,7.5,1950
20394,Murder by Proxy:  How America Went Postal,2.0,7.0,2010
20395,After Porn Ends,65.0,5.5,2012
20396,Angelique,30.0,7.0,1964
20397,Stonehenge Apocalypse,27.0,3.5,2010
20398,The Last Godfather,7.0,4.7,2010
20399,Portrait of Wally,1.0,5.0,2012
20400,Starlet,51.0,6.6,2012
20401,Palme,6.0,7.2,2012
20402,Poor Us: An Animated History of Poverty,1.0,8.0,2012
20403,Ironclads,0.0,0.0,1991
20404,Jim Jefferies: Fully Functional,19.0,7.8,2012
20405,Tom Petty and the Heartbreakers: Runnin' Down a Dream,6.0,7.8,2007
20406,Churchill: The Hollywood Years,12.0,5.4,2004
20407,Sundome,0.0,0.0,2007
20408,Godzilla vs. Gigan,27.0,5.6,1972
20409,The Music Man,5.0,3.5,2003
20410,"Wild Horse, Wild Ride",1.0,6.0,2012
20411,God Save My Shoes,1.0,7.0,2012
20412,Why Stop Now?,42.0,5.3,2012
20413,The Psychopath,5.0,6.3,1966
20414,"Not With My Wife, You Don't!",1.0,5.0,1966
20415,The Big Picture,38.0,6.4,2010
20416,A Woman's Face,2.0,6.0,1938
20417,The East,308.0,6.5,2013
20418,Pretty Sweet,10.0,8.5,2012
20419,Lo,11.0,6.0,2009
20420,The House of Seven Corpses,10.0,4.9,1974
20421,The Karlsson Brothers,6.0,4.8,2010
20422,Confessions of a Driving Instructor,4.0,6.3,1976
20423,Confessions from a Holiday Camp,7.0,6.4,1977
20424,Kilometre Zero,3.0,5.8,2005
20425,Beyond the Hill,7.0,6.3,2012
20426,Modest Reception,4.0,6.3,2012
20427,Day Is Done,0.0,0.0,2011
20428,Un vampiro para dos,1.0,5.0,1965
20429,Love Likes Coincidences,21.0,7.0,2011
20430,Blancanieves,67.0,7.1,2012
20431,Return,6.0,6.5,2011
20432,Tabu,46.0,7.0,2012
20433,Head Games,3.0,4.7,2012
20434,"Pink Ribbons, Inc.",6.0,6.8,2011
20435,Ballplayer,6.0,5.9,2012
20436,Désiré,2.0,7.5,1993
20437,The Summer I Turned 15,7.0,5.3,1976
20438,The Erotic Man,4.0,7.0,2010
20439,All That I Love,8.0,7.0,2009
20440,Upside Down,1094.0,6.2,2012
20441,The Liability,85.0,5.7,2012
20442,Angst,63.0,7.2,1983
20443,Pressure Point,5.0,6.9,1962
20444,Butchered,1.0,3.0,2010
20445,On the Edge,6.0,5.0,2006
20446,2 Become 1,1.0,6.0,2006
20447,The Baytown Outlaws,108.0,5.9,2012
20448,LUV,17.0,5.8,2013
20449,Stand Up Guys,327.0,5.9,2013
20450,Le grand soir,39.0,5.4,2012
20451,Kukuli,1.0,5.0,1961
20452,The Land,4.0,9.8,1969
20453,Chouga,1.0,5.0,2007
20454,Udaan,39.0,6.7,2010
20455,A Life Apart: Hasidism in America,2.0,4.3,1998
20456,Hawking,43.0,7.1,2004
20457,No,132.0,7.0,2012
20458,Finding Joy,4.0,4.5,2013
20459,Now Is Good,379.0,7.3,2012
20460,The Haunting in Connecticut 2: Ghosts of Georgia,177.0,5.6,2013
20461,The Adonis Factor,1.0,9.0,2010
20462,Resident Evil: Degeneration,248.0,6.3,2008
20463,Call Me Kuchu,8.0,7.2,2012
20464,No Man of Her Own,7.0,7.7,1950
20465,Starring Maja,3.0,6.7,2009
20466,Miss Kicki,6.0,6.2,2009
20467,Side Effects,1340.0,6.4,2013
20468,Midnight's Children,15.0,5.4,2012
20469,Kadal,7.0,5.9,2013
20470,Identity Thief,1667.0,5.6,2013
20471,The Waiting Room,3.0,6.3,2007
20472,Shadow People,1.0,1.0,2007
20473,The ABCs of Death,175.0,4.7,2013
20474,21 Ways to Ruin a Marriage,7.0,6.4,2013
20475,Rainy Dog,8.0,7.0,1997
20476,Fuck Off! Images of Finland,1.0,7.0,1971
20477,Resident Evil: Damnation,186.0,6.3,2012
20478,The Foreigner,2.0,6.0,1978
20479,Days and Hours,4.0,7.8,2004
20480,Assault of the Sasquatch,4.0,4.3,2010
